AK tends to look for a political formala II ka hai na Looks up to Modi for that emember the hasty desh mein Modi Dill kejri,,
AK,Eng,Ot
tends,Eng,Eng
to,Eng,Eng
look,Eng,Eng
for,Eng,Eng
a,Eng,Eng
political,Eng,Eng
formala,Eng,Eng
II,Hin,ot
ka,Hin,Hin
hai,Hin,Hin
na,Hin,Hin
Looks,Eng,Eng
up,Eng,Eng
to,Eng,Eng
Modi,Eng,Eng
for,Eng,Eng
that,Eng,Eng
emember,Eng,Eng
the,Eng,Eng
hasty,Eng,Eng
desh,Hin,Hin
mein,Hin,Hin
Modi,Hin,Ot
Dill,Hin,Ot
kejri,Hin,Ot
if u say 100 things praising india no use if u dont say bharat mata U  ANI NAIONAL DESH DOHI ANI HINDU ANI BLA BLAH BLA,,
if,Eng,Eng
u,Hin,Eng
say,Eng,Eng
100,O,Ot
things,Eng,Eng
praising,Eng,Eng
india,Eng,Eng
no,Eng,Eng
use,Eng,Eng
if,Eng,Eng
u,Hin,Eng
dont,Hin,Eng
say,Hin,Eng
bharat,Hin,Ot
mata,Hin,Hin
U,Hin,Eng
ANI,Hin,?
NAIONAL,Hin,Eng
DESH,Hin,Hin
DOHI,Hin,Hin
ANI,Hin,?
HINDU,Hin,Ot
ANI,Hin,?
BLA,Hin,Eng
BLAH,Hin,Eng
BLA,Eng,Eng
Knock knock Petrol prices hiked by s 3 07 per litre diesel by s 1 90 But what is the discussion Bharat Mata ki jai Sala uloo desh,,
Knock,Hin,Eng
knock,Eng,Eng
Petrol,Eng,Eng
prices,Eng,Eng
hiked,Eng,Eng
by,Eng,Eng
s,Eng,Eng
3,O,Ot
7,O,Ot
per,Eng,Eng
litre,Eng,Eng
diesel,Eng,Eng
by,Eng,Eng
s,Hin,Eng
1,O,Ot
90,O,Ot
But,Hin,Eng
what,Eng,Eng
is,Eng,Eng
the,Eng,Eng
discussion,Eng,Eng
Bharat,Hin,Ot
Mata,Hin,Ot
ki,Hin,Hin
jai,Hin,Ot
Sala,Hin,Hin
uloo,Hin,Hin
desh,Hin,Hin
Knock knock Petrol prices hiked by s 3 07 per litre diesel by s 1 90 But what is the discussion Bharat Mata ki jai,,
Knock,Hin,Eng
knock,Eng,Eng
Petrol,Eng,Eng
prices,Eng,Eng
hiked,Eng,Eng
by,Eng,Eng
s,Eng,Eng
3,O,Ot
7,O,Ot
per,Eng,Eng
litre,Eng,Eng
diesel,Eng,Eng
by,Eng,Eng
s,Hin,Eng
1,O,Ot
