Dear Goroun So proud of you Pure example of Ghar Mein Ghuss Ke Marna,,
Dear,Eng,Eng
Goroun,Hin,Hin
So,Hin,Eng
proud,Eng,Eng
of,Eng,Eng
you,Eng,Eng
Pure,Eng,Eng
example,Eng,Eng
of,Eng,Eng
Ghar,Hin,Hin
Mein,Hin,Hin
Ghuss,Hin,Hin
Ke,Hin,Hin
Marna,Hin,Hin
look he is saying ghar ke shair but in ur ghar no matches so shutup,,
look,Eng,Eng
he,Eng,Eng
is,Eng,Eng
saying,Eng,Eng
ghar,Hin,Hin
ke,Hin,Hin
shair,Hin,Hin
but,Eng,Eng
in,Eng,Eng
ur,Hin,Eng
ghar,Hin,Hin
no,Eng,Eng
matches,Eng,Eng
so,Eng,Eng
shutup,Hin,Eng
New Zealand ke to aylor bhi kitne advanced hain Apne desh ki cricket team mein khel rhe hain p,,
New,Eng,Ot
Zealand,Eng,Ot
ke,Eng,Hin
to,Eng,Hin
aylor,Eng,Ot
bhi,Hin,Hin
kitne,Hin,Hin
advanced,Eng,Eng
hain,Hin,Hin
Apne,Hin,Hin
desh,Hin,Hin
ki,Hin,Hin
cricket,Hin,Hin
team,Hin,Hin
mein,Hin,Hin
khel,Hin,Hin
rhe,Hin,Hin
hain,Hin,Hin
p,Hin,Ot
Ghar ke Sherrrrrr Ghar mai Dheerr feeling happy,,
Ghar,Hin,Hin
ke,Hin,Hin
Sherrrrrr,Hin,Hin
Ghar,Hin,Hin
mai,Hin,Hin
Dheerr,Hin,Hin
feeling,Eng,Eng
happy,Eng,Eng
his what actually Ghar mein ghuss ke marna is,,
his,Eng,Eng
what,Eng,Eng
actually,Eng,Eng
Ghar,Hin,Hin
mein,Hin,Hin
ghuss,Hin,Hin
ke,Hin,Hin
marna,Hin,Hin
is,Hin,Hin
20 W0LD CUP IND VS NZ Dil ke Arman Anso ban Kar beh Gae Indian Sher Ghar Men He Ho Gae Dhear Newzland Ne India ko 47 uns Hara Deya,,
20,O,Ot
W0LD,Eng,Eng
CUP,Eng,Eng
IND,Hin,Ot
VS,Eng,Eng
NZ,Eng,Ot
Dil,Hin,Hin
ke,Hin,Hin
Arman,Hin,Hin
Anso,Hin,Hin
ban,Hin,Hin
Kar,Hin,Hin
beh,Hin,Hin
Gae,Hin,Hin
Indian,Eng,Ot
Sher,Hin,Hin
Ghar,Hin,Hin
Men,Hin,Hin
He,Hin,Hin
Ho,Hin,Hin
Gae,Hin,Hin
Dhear,Eng,Eng
Newzland,Eng,Ot
Ne,Hin,Hin
India,Hin,Ot
ko,Hin,Hin
47,O,Ot
uns,Hin,Hin
Hara,Hin,Hin
Deya,Hin,Hin
Laut ke buddhu ghar ko aaye aisa b Nhi Bol skte 79is also a nyc score,,
Laut,Hin,Hin
ke,Hin,Hin
buddhu,Hin,Hin
ghar,Hin,Hin
ko,Hin,Hin
aaye,Hin,Hin
aisa,Hin,Hin
b,Hin,Hin
Nhi,Hin,Hin
Bol,Hin,Hin
skte,Eng,Hin
79is,Eng,Mix
also,Eng,Eng
a,Eng,Eng
nyc,Eng,Eng
score,Eng,Eng
Atleast better than ghar ke kutte who can t even play in Apne ghar,,
Atleast,Eng,Eng
better,Eng,Eng
than,Eng,Eng
ghar,Hin,Hin
ke,Hin,Hin
kutte,Hin,Hin
who,Eng,Eng
can,Eng,Eng
t,Eng,Eng
even,Eng,Eng
play,Eng,Eng
in,Hin,Hin
Apne,Hin,Hin
ghar,Hin,Hin
aashim yr had hn 79 pe too bad wo b ghr pr yeh tou wo hogya ghr ke sher ghar pe he dher,,
aashim,Hin,Ot
yr,Eng,Eng
had,Eng,Eng
hn,Hin,Hin
79,O,Ot
pe,Hin,Hin
too,Hin,Eng
bad,Hin,Eng
wo,Hin,Hin
b,Hin,Hin
ghr,Hin,Hin
pr,Hin,Hin
yeh,Hin,Hin
tou,Hin,Hin
wo,Hin,Hin
hogya,Hin,Hin
ghr,Hin,Hin
ke,Hin,Hin
sher,Hin,Hin
ghar,Hin,Hin
pe,Hin,Hin
he,Hin,Hin
dher,Hin,Hin
New Zealand Won by 47 runss yayaya Ghar ke sher Ghar me dher p,,
New,Eng,Ot
Zealand,Eng,Ot
Won,Eng,Eng
by,Eng,Eng
47,O,Ot
runss,Eng,Eng
yayaya,Hin,Ot
Ghar,Hin,Hin
ke,Hin,Hin
sher,Hin,Hin
Ghar,Hin,Hin
me,Hin,Hin
dher,Hin,Hin
p,Hin,Ot
JO BANE HE GHA KE SHE AB PANI UNKE ANKHON ME Love you,,
JO,Hin,Hin
BANE,Hin,Hin
HE,Hin,Hin
GHA,Hin,Hin
KE,Hin,Hin
SHE,Hin,Hin
AB,Hin,Hin
PANI,Hin,Hin
UNKE,Hin,Hin
ANKHON,Hin,Hin
ME,Hin,Hin
Love,Hin,Eng
you,Hin,Eng
lt CICKE gt Nagpur Ghar Ke Shair Ghar Main Dhair World  20 Ke Pehle Hi Match Main New Zealand Ne Maizban Bharat Ko 47 uns Se Hara Diya,,
lt,Eng,Eng
CICKE,Eng,?
gt,Eng,Eng
Nagpur,Eng,O
Ghar,Hin,Hin
Ke,Hin,Hin
Shair,Hin,Hin
Ghar,Hin,Hin
Main,Hin,Hin
Dhair,Hin,Hin
World,Hin,Eng
20,O,Ot
Ke,Hin,Hin
Pehle,Hin,Hin
Hi,Hin,Hin
Match,Hin,Eng
Main,Eng,Hin
New,Eng,Ot
Zealand,Eng,Ot
Ne,Hin,Hin
Maizban,Hin,Hin
Bharat,Hin,Ot
Ko,Hin,Hin
47,O,Ot
uns,Hin,Eng
Se,Hin,Hin
Hara,Hin,Hin
Diya,Hin,Hin
hahaha india ke ghar pr he mehmanoo na band bja de lolzz thanks for breaking their proud of asian champions,,
hahaha,Hin,Ot
india,Hin,Ot
ke,Hin,Hin
ghar,Hin,Hin
pr,Hin,Hin
he,Hin,Hin
mehmanoo,Hin,Hin
na,Hin,Hin
band,Hin,Hin
bja,Hin,Hin
de,Hin,Hin
lolzz,Eng,OT
thanks,Eng,Eng
for,Eng,Eng
breaking,Eng,Eng
their,Eng,Eng
proud,Eng,Eng
of,Eng,Eng
asian,Eng,Eng
champions,Eng,Eng
Ghar Ke Sher Ghar Me Dhair World Cup Ke Pehly Match Me NewZealand Ne india Ko 47 uns Se Hara Diya NZ 126 7 Ovr 20 india 79 10 18 1 Ovr,,
Ghar,Hin,Hin
Ke,Hin,Hin
Sher,Hin,Hin
Ghar,Hin,Hin
Me,Hin,Hin
Dhair,Hin,Hin
World,Eng,Eng
Cup,Hin,Eng
Ke,Hin,Hin
Pehly,Eng,Eng
Match,Eng,Eng
Me,Eng,Eng
NewZealand,Eng,Ot
Ne,Eng,Eng
india,Hin,Ot
Ko,Hin,Hin
47,O,Ot
uns,Hin,Eng
Se,Hin,Hin
Hara,Hin,Hin
Diya,Hin,Hin
NZ,Eng,Ot
126,O,Ot
7,O,Ot
Ovr,Eng,Eng
20,O,Ot
india,Eng,Eng
79,O,Ot
10,O,Ot
18,O,Ot
1,O,Ot
Ovr,Eng,Eng
please trust india they can make much worst pitch than this dont underestimateghar ke shair,,
please,Eng,Eng
trust,Eng,Eng
india,Eng,Ot
they,Eng,Eng
can,Eng,Eng
make,Eng,Eng
much,Eng,Eng
worst,Eng,Eng
pitch,Eng,Eng
than,Eng,Eng
this,Eng,Eng
dont,Eng,Eng
underestimateghar,Eng,Mix
ke,Hin,Hin
shair,Hin,Hin
Whatever score we got we knew it would be tough to chase Williamson,,
Whatever,Eng,Eng
score,Eng,Eng
we,Eng,Eng
got,Eng,Eng
we,Eng,Eng
knew,Eng,Eng
it,Eng,Eng
would,Eng,Eng
be,Eng,Eng
tough,Eng,Eng
to,Eng,Eng
chase,Eng,Eng
Williamson,Eng,Ot
Ghar Ke Shair Ghar Main Dhair New Zealand beats Bharat by 47 uns Bingo,,
Ghar,Hin,Hin
Ke,Hin,Hin
Shair,Hin,Hin
Ghar,Hin,Hin
Main,Hin,Hin
Dhair,Eng,Hin
New,Eng,Ot
Zealand,Eng,Ot
beats,Eng,Eng
Bharat,Eng,Ot
by,Eng,Eng
47,O,Ot
uns,Eng,Eng
Bingo,Eng,Eng
kis desh mein Hai Mera dil is coming back on star utsav From 4th April 6 30pm n shown ptomo,,
kis,Hin,Hin
desh,Hin,Hin
mein,Hin,Hin
Hai,Hin,Hin
Mera,Hin,Hin
dil,Hin,Hin
is,Eng,Eng
coming,Eng,Eng
back,Eng,Eng
on,Eng,Eng
star,Eng,Ot
utsav,Hin,Ot
From,Eng,Eng
4th,Eng,Ot
April,Eng,Ot
6,O,Ot
30pm,Eng,Ot
n,Eng,Eng
shown,Eng,Eng
ptomo,Eng,Eng
Hamid Mir ne trainer ke ghar ka pata chala lya ha Soon he will do a program on it,,
Hamid,Eng,Ot
Mir,Hin,Ot
ne,Eng,Hin
trainer,Eng,Eng
ke,Hin,Hin
ghar,Hin,Hin
ka,Hin,Hin
pata,Hin,Hin
chala,Hin,Hin
lya,Hin,Hin
ha,Hin,Hin
Soon,Hin,Eng
he,Eng,Eng
will,Eng,Eng
do,Eng,Eng
a,Eng,Eng
program,Eng,Eng
on,Eng,Eng
it,Eng,Eng
i can just say Ghar ke sher Ghar hi me dher Well Played Kiwis,,
i,Hin,Eng
can,Eng,Eng
just,Eng,Eng
say,Hin,Eng
Ghar,Hin,Hin
ke,Hin,Hin
sher,Hin,Hin
Ghar,Hin,Hin
hi,Hin,Hin
me,Hin,Hin
dher,Hin,Hin
Well,Eng,Eng
Played,Eng,Eng
Kiwis,Eng,Eng
Danka waju de danka NZ well played Sher ko sher ke ghar main ja ke challenge karna is act of bravery,,
Danka,Hin,?
waju,Hin,?
de,Hin,?
danka,Hin,?
NZ,Eng,Ot
well,Eng,Eng
played,Eng,Eng
Sher,Eng,Eng
ko,Hin,Hin
sher,Hin,Hin
ke,Hin,Hin
ghar,Hin,Hin
main,Hin,Hin
ja,Hin,Hin
ke,Hin,Hin
challenge,Hin,Eng
karna,Hin,Hin
is,Eng,Eng
act,Eng,Eng
of,Eng,Eng
bravery,Eng,Eng
CICKE gt Nagpur Ghar Ke Sher Ghar Men Dher World  20 Ke Pehle Hi Match Men New Zealand Ne Maizban Bharat Ko 47 uns Se Hara Diya,,
CICKE,Eng,Eng
gt,Eng,Ot
Nagpur,Eng,Ot
Ghar,Hin,Hin
Ke,Hin,Hin
Sher,Hin,Hin
Ghar,Hin,Hin
Men,Hin,Hin
Dher,Hin,Hin
World,Hin,Eng
20,O,Ot
Ke,Hin,Hin
Pehle,Hin,Hin
Hi,Hin,Hin
Match,Hin,Eng
Men,Hin,Eng
New,Eng,Ot
Zealand,Eng,Ot
Ne,Hin,Hin
Maizban,Hin,Hin
Bharat,Hin,Ot
Ko,Hin,Hin
47,O,Ot
uns,Hin,Hin
Se,Hin,Hin
Hara,Hin,Hin
Diya,Hin,Hin
Craving for Grima ke ghar ke cheese chips,,
Craving,Eng,Eng
for,Eng,Eng
Grima,Eng,Eng
ke,Hin,Hin
ghar,Hin,Hin
ke,Hin,Hin
cheese,Eng,Eng
chips,Eng,Eng
What time changed Ghar ke sher aur bahir dher shld I show u the recent record of Indian team,,
What,Eng,Eng
time,Eng,Eng
changed,Eng,Eng
Ghar,Hin,Hin
ke,Hin,Hin
sher,Hin,Hin
aur,Hin,Hin
bahir,Hin,Hin
dher,Hin,Hin
shld,Hin,Eng
I,Hin,Eng
show,Hin,Eng
u,Hin,Eng
the,Eng,Eng
recent,Eng,Eng
record,Eng,Eng
of,Eng,Eng
Indian,Eng,Eng
team,Eng,Eng
Liebhabe another thing common between India and Pakistan Ladki chahe kisi bhi desh mein ho never give up hope,,
Liebhabe,Eng,?
another,Eng,Eng
thing,Eng,Eng
common,Eng,Eng
between,Eng,Eng
India,Eng,Eng
and,Eng,Eng
Pakistan,Eng,Eng
Ladki,Hin,Hin
chahe,Hin,Hin
kisi,Hin,Hin
bhi,Hin,Hin
desh,Hin,Hin
mein,Hin,Hin
ho,Hin,Hin
never,Hin,Eng
give,Eng,Eng
up,Eng,Eng
hope,Eng,Eng
AKAAL DEAH WAAN IS SIGNED BY JANAA JANADHAN OF BHAA DESH NOW MONKEY DANCE 2 MISGUIDE amp FOOL VOES ha ha,,
AKAAL,Hin,?
DEAH,Hin,?
WAAN,Hin,?
IS,Hin,Eng
SIGNED,Hin,Eng
BY,Hin,Eng
JANAA,Hin,Ot
JANADHAN,Hin,Ot
OF,Hin,Hin
BHAA,Hin,Hin
DESH,Hin,Hin
NOW,Hin,Eng
MONKEY,Hin,Eng
DANCE,Hin,Eng
2,O,Ot
MISGUIDE,Hin,Eng
amp,Hin,Ot
FOOL,Hin,Eng
VOES,Hin,Eng
ha,Hin,Ot
ha,Hin,Ot
You know whats 3 best thing Subh ki neend Din ki neend aat ki neend I love you my neend Morning family Shahista,,
You,Hin,Eng
know,Hin,Eng
whats,Eng,Eng
3,O,Ot
best,Eng,Eng
thing,Eng,Eng
Subh,Hin,Hin
ki,Hin,Hin
neend,Hin,Hin
Din,Hin,Hin
ki,Hin,Hin
neend,Hin,Hin
aat,Hin,Hin
ki,Hin,Hin
neend,Hin,Hin
I,Hin,Eng
love,Hin,Eng
you,Hin,Eng
my,Eng,Eng
neend,Hin,Hin
Morning,Eng,Eng
family,Eng,Eng
Shahista,Eng,?
Modi ji you said gt nobody can become leader by giving speeches but same applies to you 2 years passed but na acche din na acche raat dikha,,
Modi,Hin,Ot
ji,Hin,Hin
you,Hin,Eng
said,Eng,Eng
gt,Eng,Ot
nobody,Eng,Eng
can,Eng,Eng
become,Eng,Eng
leader,Eng,Eng
by,Eng,Eng
giving,Eng,Eng
speeches,Eng,Eng
but,Eng,Eng
same,Eng,Eng
applies,Eng,Eng
to,Eng,Eng
you,Eng,Eng
2,O,Ot
years,Eng,Eng
passed,Eng,Eng
but,Eng,Eng
na,Hin,Hin
acche,Hin,Hin
din,Hin,Hin
na,Hin,Hin
acche,Hin,Hin
raat,Hin,Hin
dikha,Hin,Hin
WE HAVE UE HUMAN WHO KNOW NAMAK IS OF BHAA DESH NAMAK HAAAM AE OU NAMAK BU ACION  FULLY HAAAMI GADE,,
WE,Hin,Eng
HAVE,Hin,Eng
UE,Hin,Eng
HUMAN,Hin,Eng
WHO,Hin,Eng
KNOW,Hin,Eng
NAMAK,Hin,Hin
IS,Hin,Eng
OF,Hin,Eng
BHAA,Hin,Ot
DESH,Hin,Ot
NAMAK,Hin,Hin
HAAAM,Hin,Hin
AE,Hin,Hin
OU,Hin,Hin
NAMAK,Hin,Hin
BU,Hin,Hin
ACION,Hin,Hin
FULLY,Hin,Eng
HAAAMI,Hin,Hin
GADE,Hin,Hin
World Cup 20 Ghar Ke Sher Ghar Main He Dher Newzlend Ki eam India Ko Badtreen Shiksat De Di Ind 79 Pe All Out,,
World,Eng,Eng
Cup,Hin,Eng
20,O,Ot
Ghar,Hin,Hin
Ke,Hin,Hin
Sher,Hin,Hin
Ghar,Hin,Hin
Main,Hin,Hin
He,Hin,Hin
Dher,Hin,Hin
Newzlend,Hin,Ot
Ki,Hin,Hin
eam,Hin,Hin
India,Hin,Eng
Ko,Hin,Hin
Badtreen,Hin,Hin
Shiksat,Eng,Eng
De,Hin,Hin
Di,Hin,Hin
Ind,Hin,Eng
79,O,Ot
Pe,Hin,Hin
All,Hin,Eng
Out,Eng,Eng
WACH HIS amp SHAE I DESH ME EHNA HAI O VANDE MAAAM BOLANA HAI EWEE HIS FO BHAA,,
WACH,Hin,Hin
HIS,Hin,Hin
amp,Hin,Ot
SHAE,Hin,?
I,Hin,Hin
DESH,Hin,Hin
ME,Hin,Hin
EHNA,Hin,Hin
HAI,Hin,Hin
O,Hin,Hin
VANDE,Hin,Hin
MAAAM,Hin,Hin
BOLANA,Hin,Hin
HAI,Hin,Hin
EWEE,Eng,Hin
HIS,Eng,Eng
FO,Hin,Hin
BHAA,Hin,Hin
its means ap din doogni raat chogni tarqi kr rahy hein,,
its,Eng,Eng
