Anybody suggest me What am I do aat bhar Din bhar Must comments feeling confused,,
Anybody,Eng,Eng
suggest,Eng,Eng
me,Hin,Hin
What,Hin,Hin
am,Eng,Eng
I,Hin,Eng
do,Hin,Eng
aat,Hin,Hin
bhar,Hin,Hin
Din,Hin,Hin
bhar,Hin,Hin
Must,Hin,Hin
comments,Eng,Eng
feeling,Eng,Eng
confused,Eng,Eng
oh that s ok Just some misled youths Nothing to do with Islam Don t link religion to this SS,,
oh,Hin,Eng
that,Hin,Eng
s,Hin,Eng
ok,Hin,Eng
Just,Hin,Eng
some,Eng,Eng
misled,Eng,Eng
youths,Eng,Eng
Nothing,Eng,Eng
to,Eng,Eng
do,Eng,Eng
with,Eng,Eng
Islam,Eng,Ot
Don,Eng,Eng
t,Eng,Eng
link,Eng,Eng
religion,Eng,Eng
to,Eng,Eng
this,Eng,Eng
SS,Eng,Ot
Obviously esult Day Ke Baad o Ghar Se Nahin Nikalna 3,,
Obviously,Eng,Eng
esult,Eng,Eng
Day,Hin,Eng
Ke,Hin,Hin
Baad,Hin,Hin
o,Hin,Hin
Ghar,Hin,Hin
Se,Hin,Hin
Nahin,Hin,Hin
Nikalna,Hin,Hin
3,O,Ot
dekho Bhai 1947 se pahle hum ek the per attack to mat karo development karo sukun se hame jine do Aur bhi aap Bhi jiyo,,
dekho,Hin,Hin
Bhai,Hin,Hin
1947,O,Ot
se,Hin,Hin
pahle,Hin,Hin
hum,Hin,Hin
ek,Hin,Hin
the,Hin,Hin
per,Eng,Hin
attack,Eng,Eng
to,Eng,Hin
mat,Hin,Hin
karo,Hin,Hin
development,Eng,Eng
karo,Hin,Hin
sukun,Hin,Hin
se,Hin,Hin
hame,Hin,Hin
jine,Hin,Hin
do,Hin,Hin
Aur,Hin,Hin
bhi,Hin,Hin
aap,Hin,Hin
Bhi,Hin,Hin
jiyo,Hin,Hin
what about your dear friend laluji phale apna ghar sambhalo bahi fir sochho agle ke bare me,,
what,Eng,Eng
about,Eng,Eng
your,Hin,Eng
dear,Eng,Eng
friend,Hin,Eng
laluji,Hin,Ot
phale,Hin,Hin
apna,Hin,Hin
ghar,Hin,Hin
sambhalo,Hin,Hin
bahi,Hin,Hin
fir,Hin,Hin
sochho,Hin,Hin
agle,Hin,Hin
